title;genre
Назад в будущее 3;фантастика, комедия
По соображениям совести;драма, военный
Семь;триллер, драма
Семь жизней;драма, мелодрама
Аладдин;мультфильм, мюзикл
Храброе сердце;история, биография
Гарри Поттер и Тайная комната;фэнтези, приключения
Пробуждение;драма, биография
Легенда о волках;мультфильм, фэнтези
Пролетая над гнездом кукушки;драма
Железный человек;фантастика, боевик
Добро пожаловать, или Посторонним вход воспрещен;комедия, семейный
Унесенные ветром;мелодрама, история
Хороший, плохой, злой;вестерн
Хоббит: Пустошь Смауга;фэнтези, приключения
Адвокат дьявола;триллер, фэнтези
Загадочная история Бенджамина Баттона;драма, фэнтези
Игра;триллер, драма
Один дома 2: Затерянный в Нью-Йорке;комедия, семейный
Мстители: Война бесконечности;фантастика, боевик
Эрнест и Селестина: Приключения мышки и медведя;мультфильм, фэнтези
Доктор Лиза;драма, биография
Мадагаскар;мультфильм, комедия
Стражи Галактики;фантастика, боевик
Пятый элемент;фантастика, боевик
Звёздные войны: Эпизод 4 – Новая надежда;фантастика, боевик
Изгой;драма, мелодрама
Звёздные войны: Эпизод 6 – Возвращение Джедая;фантастика, боевик
Мой сосед Тоторо;аниме, мультфильм
Двухсотлетний человек;фантастика, драма
Такси;боевик, комедия
Хатико: Самый верный друг;драма, семейный
Троя;боевик, история
Человек-паук: Через вселенные;мультфильм, фантастика
Пираты Карибского моря: Сундук мертвеца;фэнтези, боевик
Прислуга;драма
Мальчик в полосатой пижаме;драма, военный
Пираты Карибского моря: На краю света;фэнтези, боевик
Хоббит: Битва пяти воинств;фэнтези, приключения
Тот самый Мюнхгаузен;фэнтези, драма
История игрушек;мультфильм, фэнтези
Король говорит!;драма, биография
Далласский клуб покупателей;драма, биография
Балто;мультфильм, драма
Запах женщины;драма
В поисках Немо;мультфильм, комедия
Люди в черном;фантастика, боевик
Счастливое число Слевина;триллер, драма
Дело храбрых;боевик, драма
Рок-н-рольщик;криминал, боевик
